;Age;predMAT.fit...1.;predMAT.SEP.boot...1.;predMAT.fit...1..1;predMAT.SEP.boot...1..1;predMAT.fit...1..2;predMAT.SEP.boot...1..2;predMAT.fit...1..3;predMAT.SEP.boot...1..3
25;4,148935387;8,935123909;2,881877985;947,0776103;255,1023915;18,62058218;2,460504389;-0,399859624;4,017014586
26;4,270578359;8,9964789;2,839355814;1035,329032;260,9668045;18,40332238;2,503772875;0,19289308;3,929138088
27;4,370877736;8,695973068;2,852860946;1022,882116;265,4435076;18,21543654;2,469936607;-0,189567653;3,959687867
28;4,476263758;8,534397646;2,834296013;1018,28545;259,6446636;18,18462338;2,498062455;-0,306159815;3,946664712
29;4,584470568;8,71682845;2,914384162;1015,293305;296,6000834;18,30208677;2,65165473;-0,337168174;3,863625196
30;4,596728576;8,626721124;2,785991927;1048,770207;293,0636434;18,72097701;2,644536141;-0,718040073;3,899113353
31;4,762611428;8,632212025;2,76946495;1080,364755;289,8406959;18,17161087;2,506899795;-0,613060707;3,806140273
32;4,880170875;8,595559617;2,838177544;1046,585206;296,8619011;18,63369794;2,501944308;-0,851880807;3,929247933
33;4,981699488;9,058974017;2,783827212;1058,079841;298,9410464;18,76471916;2,483327743;-0,092134354;3,857571632
34;5,082636572;9,006375987;2,762277089;1096,55862;295,3122369;18,93967618;2,468461369;-0,121435071;3,826540056
35;5,178863655;9,060466025;2,766999354;1124,153118;300,2254066;18,98553997;2,512744382;-0,104633116;3,798998345
36;5,291459455;9,908792634;2,745114352;987,1963177;286,9028224;19,71518744;2,570009777;0,291982153;3,691051682
37;5,387834166;9,934066854;2,776115881;987,2624451;293,9740632;19,72619847;2,635125942;0,273203166;3,672279394
38;5,456491621;9,665604751;2,763903956;1050,909557;267,2454823;18,97649689;2,563243417;1,03827514;3,768369076
39;5,575684409;9,66141434;2,726693462;1058,653147;275,2909892;19,3208979;2,470529976;0,557141614;3,78223571
40;5,679191364;9,853411039;2,815705877;961,6665581;302,0247223;19,7182287;2,720061533;0,60451877;3,695137104
41;5,777240875;9,873082717;2,866355152;965,3424109;294,0280366;19,40288743;2,81687491;0,867576322;3,724971191
42;5,895578898;9,856251934;2,957002464;1177,70933;349,6488281;19,70501316;2,907795961;0,884784475;3,897625136
43;5,975679393;9,922013846;3,025084861;1188,772673;330,8690709;19,20728853;2,999665617;1,882646677;3,808817387
44;6,093474509;9,960472164;3,028588125;1190,635625;317,8999299;19,17630906;3,017315854;2,049646479;3,815852943
45;6,178290845;10,211531;3,020348875;1112,091184;290,9364366;18,93805763;3,056705266;2,617641759;3,695968589
46;6,260698183;9,773648563;2,877364478;1095,184549;273,5528726;18,42283709;2,7723083;1,697181484;3,745770504
47;6,38702457;9,501635288;2,73111648;1140,102867;268,0616541;18,01438688;2,602867707;1,991197441;3,647796612
48;6,507902558;9,659408546;2,7754614;1178,88686;265,7977762;17,90035521;2,696596442;2,13636376;3,638661222
49;6,595813822;9,653985702;2,766864018;1179,359329;263,5078414;17,89072483;2,683298979;2,132777268;3,63481956
50;6,694233661;9,927735212;2,792801346;1155,541034;258,2582292;18,38787908;2,696367003;2,083951891;3,658885201
51;6,816658045;9,7444217;2,804636393;1173,376633;257,5317191;18,20349409;2,676305826;1,921561932;3,670150825
52;6,932961209;9,807744067;2,790501892;1120,458014;258,0676685;18,49504717;2,694108953;2,141830989;3,685623336
53;7,032200561;9,97109947;2,788671842;1161,200476;258,5628981;18,49643206;2,679594899;2,054763454;3,647789632
54;7,169067122;9,402391502;2,756578858;1123,815514;257,9742805;17,8250791;2,655398228;1,608733876;3,719959694
55;7,144156661;9,23259549;2,73618001;1157,226518;253,4116524;17,94466736;2,650119987;1,76819723;3,775060141
56;7,273661743;9,812064927;2,804722274;1158,571532;256,6547679;18,66042446;2,720829993;1,893877904;3,843354903
57;7,547374278;9,690032015;2,832060448;1166,71065;253,9997254;18,33423459;2,682414379;1,994702155;3,744913117
58;7,691799371;9,760450055;2,863848534;1168,6049;261,3854485;18,26096298;2,714933935;2,134255543;3,765391309
59;7,824044832;10,48712116;2,823185651;1111,915643;253,0641237;19,19668163;2,687956889;2,390273349;3,743364425
60;7,994650773;10,16353335;2,889414213;1133,238454;259,4067033;18,83967799;2,731903237;2,206085406;3,774310382
61;8,110937867;9,161990116;2,942409591;1264,338164;275,4500646;17,95934934;2,77177013;1,229773279;3,876978148
62;8,253930686;9,158057039;2,97567211;1196,364485;275,1783821;18,22472114;2,825705676;0,93201736;3,944777179
63;8,382456391;9,101209798;2,954266272;1221,475566;272,8186775;17,9189707;2,768982955;1,32372573;3,911462474
64;8,270271466;8,986712761;2,911296899;1169,89143;267,5044908;18,20296606;2,802468916;1,183991493;4,09757579
65;8,457734416;9,077319197;2,95560756;1075,359402;272,129156;18,38800619;2,865467635;0,618703529;4,170749063
66;8,818255848;8,653976286;3,07261481;1126,306868;285,2638362;17,77066863;2,919256494;-0,575198691;4,116137342
67;8,889654743;8,496371657;3,040113837;1143,430282;284,6336769;17,89099373;2,926124325;-0,425276566;4,128355968
