Age;predMAT.fit...1.;predMAT.SEP.boot...1.;predMAT.fit...1..1;predMAT.SEP.boot...1..1;predMAT.fit...1..2;predMAT.SEP.boot...1..2;predMAT.fit...1..3;predMAT.SEP.boot...1..3
15,92813631;1,36486159;3,30698233;821,5978292;245,7573765;14,73287359;2,544477507;-11,16859985;5,097722877
15,08524256;0,169808656;3,629672885;749,1439039;230,4644582;14,42784992;2,759941944;-12,79323492;6,284351588
15,1771969;1,911520753;3,418979707;738,3721179;220,7703924;16,03449158;2,783439609;-11,37400277;6,018110086
15,46034158;0,809717421;3,482823496;732,6907295;235,3686972;15,11714117;2,869301405;-11,99529419;5,87142101
16,27825118;3,303033155;3,586554297;873,3058117;240,3230831;15,72083544;2,838935104;-7,793894287;5,037000148
15,57317512;3,145465502;3,536872845;806,219762;224,9371368;15,76623729;2,891466891;-7,950490654;5,917201689
15,6262104;2,766915653;3,256589701;874,8636542;246,9910835;15,35229786;2,83059849;-7,245525505;4,880646989
15,82850512;1,659759525;3,447518686;766,9229034;229,9548824;15,03439029;2,896309193;-8,854534663;5,090848929
15,74637928;2,878061132;3,229351096;811,1122576;234,929112;15,48826831;2,893772196;-7,824824815;4,971791341
15,94429891;2,50610114;3,479905103;833,9105057;235,9799637;15,21234465;2,876903844;-7,593743143;5,218706185
15,9974014;1,477333818;3,398221254;880,8258756;238,0116588;14,6108062;2,756169697;-8,720285002;5,164681698
16,11675766;3,372233752;3,445711246;816,0857952;228,099613;16,05926301;2,988438147;-6,490551996;4,987145988
16,99345173;2,559735478;3,718173251;840,937671;243,568554;14,99705577;2,953982313;-9,46325867;4,99796647
16,34747178;2,518393144;3,919229216;679,3835755;224,6956221;16,63727621;3,18265906;-8,979019055;5,757222642
16,47862992;3,905809353;4,039958335;725,176865;230,0827109;15,85895607;3,322964417;-7,735369165;6,204830249
16,24727259;4,718416585;3,511896131;559,9738259;211,0689366;17,76695926;3,116600897;-7,045587042;5,385144465
16,59361603;5,291797163;3,779074598;637,5526146;243,945062;17,40894947;3,237601985;-4,246172329;5,799377707
17,04101619;4,947040138;3,687526789;666,7711292;215,820845;17,87632451;3,261634283;-7,867800195;5,265526752
17,12810287;4,351563406;3,945285235;717,4090033;258,2349407;15,65565875;3,267237681;-7,008216755;6,134990152
17,24405594;5,169435536;3,865656052;713,3119663;244,6527044;15,65151412;3,284407949;-6,03453962;5,602269648
17,50058552;5,658487739;4,020284121;728,3374501;236,9321027;18,17235145;3,253206433;-1,985187783;5,781155677
17,32749348;4,266853578;3,472927403;744,4358099;235,8038778;15,49613902;3,225285642;-5,944379693;5,034450385
