;;;MAT;;;;;;WAPLS;;;;;;CREST;;;;;;;;;;;
SiteNumber;SiteName;Age Cal BP;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma_Pos;TANN_Sigma_Neg;Sigma;MTWA;MTWA_Sigma_Pos;MTWA_Sigma_Neg;Sigma;MTCO;MTCO_Sigma_Pos;MTCO_Sigma_Neg;Sigma
3;Navarres-2;20947;6,709335182;2,562878953;12,1417768;5,998813124;-2,385033183;3,274693135;7,895662129;3,972604738;18,27469314;7,895662129;-2,858223196;5,998813124;12,23676911;4,64132066;19,82491246;7,59544845;22,32706283;21,26363182;23,38969485;1,063431012;5,129419165;3,773886943;6,473236618;1,355532222
3;Navarres-1;21044;8,127386068;2,572175915;10,63924912;5,998814332;-0,244078202;3,157725529;7,157363526;3,972475887;18,15772553;7,157363526;-4,360750882;5,998814332;12,22104516;3,884942471;20,55327664;8,336102689;22,14353789;20,88844422;23,41470735;1,25509367;4,642429787;2,861430715;6,397198599;1,780999072
3;Navarres-2;21480;5,704278076;2,444554894;11,83931604;5,999017261;-2,447087268;3,430583101;7,652125612;3,972654892;18,4305831;7,652125612;-3,160683959;5,999017261;12,63401605;4,585292646;20,66533267;8,048723404;22,39686447;21,23861931;23,56478239;1,158245159;4,440497011;2,785392696;6,093046523;1,655104315
3;Navarres-2;22847;6,709335182;2,568958146;11,90571323;5,998271021;-2,385033183;3,414797327;7,622598098;3,972427528;18,41479733;7,622598098;-3,094286767;5,998271021;12,04643072;4,669334667;19,43271636;7,377096053;22,44001253;21,48874437;23,41470735;0,951268163;5,803419086;4,648324162;6,929464732;1,155094924
3;Navarres-1;23595;8,127386068;2,60228891;9,14319902;5,998796628;-0,244078202;4,421087296;6,134726198;3,972457256;19,4210873;6,134726198;-5,85680098;5,998796628;11,52661993;2,932466233;20,10505253;8,594153697;21,74973038;20,51325663;22,96448224;1,236473755;4,579667328;2,823411706;6,32116058;1,756255622
3;Navarres-2;23855;5,704278076;2,670890861;12,65149886;5,998903223;-2,447087268;3,545523296;8,170246103;3,972720553;18,5455233;8,170246103;-2,348501138;5,998903223;11,67671304;3,492746373;19,88094047;8,183966667;22,26536081;21,13856928;23,41470735;1,126791522;4,916813959;3,431715858;6,435217609;1,485098101
3;Navarres-1;24850;8,127386068;2,501299172;11,47388375;5,998724611;-0,244078202;2,964933773;7,737997646;3,972423877;17,96493377;7,737997646;-3,526116246;5,998724611;12,37566255;4,585292646;20,18909455;7,790369904;22,27942294;21,1885943;23,38969485;1,090828645;5,432131864;4,07803902;6,777388694;1,354092845
4;Lesvos ML01 Megali Limni;22906;-0,264675592;6,929725063;6,622011776;5,999283486;-14,66420523;8,312908386;3,984791241;3,972834248;23,31290839;3,984791241;-8,377988224;5,999283486;9,548497987;-0,989494747;20,10505253;10,53799273;22,13108347;20,63831916;23,63981991;1,492764312;3,563261721;1,188594297;5,940970485;2,374667424
4;Lesvos ML01 Megali Limni;23877;-0,27553139;2,163897498;4,302224678;6,001422855;-19,83829625;3,17177742;3,346113598;3,974153588;18,17177742;3,346113598;-10,69777532;6,001422855;5,845915589;-4,323161581;16,0150075;10,16907717;20,36935617;18,71235618;22,03901951;1,656999995;-9,842284191;-14,28514257;-5,426713357;4,44285838
4;Lesvos ML01 Megali Limni;23974;3,448923792;4,285814891;4,027819903;6,001381564;-13,41886511;6,592991164;3,208099825;3,973995171;21,59299116;3,208099825;-10,9721801;6,001381564;7,23466548;-2,502251126;16,96748374;9,736916606;20,44356103;18,61230615;22,28914457;1,83125488;-10,89096801;-15,34967484;-6,453226613;4,458706827
