Place;Deg_Lon;Deg_Lat;altitude;Biome;TANN;PANN;MTCO;MTWA
AlbaSanchez_a78;-5,331323;32,897139;2386;TUND;11,56111876;606,2630385;3,653373718;20,55124029
AlbaSanchez_a79;-5,269515;32,944753;1858;XERO;11,56111876;606,2630385;3,653373718;20,55124029
AlbaSanchez_a8;-5,03876;36,69814;2067;XERO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a80;-5,242167;32,947561;2202;TUND;11,56111876;606,2630385;3,653373718;20,55124029
AlbaSanchez_a81;-5,370925;32,926501;1879;COST;12,56875511;643,5263014;4,489784082;21,63578669
AlbaSanchez_a82;-5,435338;32,943043;1898;COST;12,56875511;643,5263014;4,489784082;21,63578669
AlbaSanchez_a83;-5,496605;32,936991;1920;TUND;13,82564215;642,9290986;5,635171413;22,95837275
AlbaSanchez_a84;-5,477006;32,942474;1905;HODE;13,82564215;642,9290986;5,635171413;22,95837275
AlbaSanchez_a85;-5,36791;32,937865;1819;TUND;12,56875511;643,5263014;4,489784082;21,63578669
AlbaSanchez_a86;-5,180248;32,849844;1761;HODE;10,58001475;568,6592701;2,765865803;19,50737127
AlbaSanchez_a87;-5,237251;32,869999;1794;WAST;10,58001475;568,6592701;2,765865803;19,50737127
AlbaSanchez_a88;-5,257908;32,885662;1843;COST;11,56111876;606,2630385;3,653373718;20,55124029
AlbaSanchez_a89;-4,918195;35,013695;1794;COST;14,57657429;755,9815036;7,944692453;22,27150663
AlbaSanchez_a9;-4,96761;36,70322;1934;XERO;13,7513423;760,2816939;7,270405134;21,43545787
AlbaSanchez_a90;-4,902107;35,016676;1897;COST;14,57657429;755,9815036;7,944692453;22,27150663
AlbaSanchez_a91;-5,072076;35,133767;1962;XERO;13,85731467;858,4324877;7,479643822;21,44624392
AlbaSanchez_a92;-5,057928;35,118435;2076;TEDE;13,85731467;858,4324877;7,479643822;21,44624392
AlbaSanchez_a93;-5,118979;35,135797;2052;TEDE;13,85731467;858,4324877;7,479643822;21,44624392
AlbaSanchez_a94;-5,112933;35,127825;1668;XERO;13,85731467;858,4324877;7,479643822;21,44624392
AlbaSanchez_a95;-5,102893;35,121953;1747;CLMX;13,85731467;858,4324877;7,479643822;21,44624392
AlbaSanchez_a96;-5,146365;35,006211;1890;WAST;14,9978594;1025,402407;8,309851329;22,74207115
AlbaSanchez_a97;-4,195262;34,043501;1875;TUND;13,43282902;701,006493;6,016646226;21,99642372
AlbaSanchez_a98;-4,176906;34,084397;2005;TUND;14,7154423;620,4420711;7,221113364;23,34982745
AlbaSanchez_a99;-4,178092;34,077415;1741;TUND;14,7154423;620,4420711;7,221113364;23,34982745
Antipina_a1;59,56994;57,49276;220;TAIG;0,611123001;693,9835525;-14,10018444;15,02039623
Antipina_a10;64;60;205;COCO;0,435019548;560,962708;-15,86456521;16,24861749
Antipina_a11;64,02649;60,55204;240;TAIG;0,003641042;558,2746446;-16,71339893;16,26937517
Antipina_a12;63,35539;60,5567;231;TAIG;0,132728862;565,0528175;-16,34276422;16,1078186
Antipina_a13;76,4512;61,0227;274;COCO;-2,403720478;629,0939963;-19,54050763;15,25928434
Antipina_a14;79,3429;57,0444;112;COST;0,247128437;559,0904653;-16,66926161;16,70547962
Antipina_a2;59,5671;57,49424;33;COST;0,611123001;693,9835525;-14,10018444;15,02039623
Antipina_a3;60,41132;57,15065;223;TAIG;1,704256405;591,560095;-13,39198494;16,4190073
Antipina_a4;60,54;64,23;120;TAIG;-3,53081733;664,4028121;-19,88490804;13,20433807
Antipina_a5;61,04;64,13;49;COST;-3,181767623;592,0835692;-20,25916354;13,94252586
Antipina_a6;59,55822;60,00015;75;TAIG;-0,830364602;670,0816476;-15,85967827;14,11449432
Antipina_a7;60,032087;61,016751;75;TAIG;-1,122505186;643,5090566;-17,06011454;14,45136356
Antipina_a8;63,35305;60,53937;829;COST;0,194966932;563,1738907;-16,22376664;16,11469046
Antipina_a9;64,02;60,55;50;TAIG;0,003641042;558,2746446;-16,71339893;16,26937517
Antipina_Galimov_a1;60,07;59,5000202;42;TAIG;0,509320875;595,911212;-15,12499523;15,6222264
Antipina_Galimov_a2;60,0708;59,49486;140;WAST;0,509320875;595,911212;-15,12499523;15,6222264
Atanassova_a1;25,34138889;42,74111111;1310;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_a2;25,3275;42,75555556;1195;COCO;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_a3;25,3275;42,76;1061;COCO;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_a4;25,34083333;42,72055556;895;TEDE;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_a5;25,33722222;42,72444444;639;TEDE;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_b1;25,34138889;42,74111111;1310;COST;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_b2;25,3275;42,75555556;1195;COCO;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_b3;25,3275;42,76;1061;COMX;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_b4;25,34083333;42,72055556;895;COCO;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_b5;25,33722222;42,72444444;639;TEDE;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_c1;25,34138889;42,74111111;1310;COST;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_c2;25,3275;42,75555556;1195;CLMX;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_c3;25,3275;42,76;1061;COMX;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_c4;25,34083333;42,72055556;895;CLMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_c5;25,33722222;42,72444444;639;COST;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_d1;25,3275;42,75555556;1195;COMX;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_d2;25,3275;42,76;1061;COMX;8,98874382;915,6769431;-0,725554711;18,43109639
Atanassova_e1;25,32138;42,735;1310;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e10;25,325;42,738;1310;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e11;25,325;42,738;1310;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e12;25,323;42,7244;1195;TEDE;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e13;25,323;42,7244;1195;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e14;25,323;42,7244;1195;CLMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e15;25,3202;42,717;1195;TEDE;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e16;25,3202;42,717;1061;TEDE;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e17;25,3202;42,717;1061;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e2;25,32138;42,735;1061;COST;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e3;25,32138;42,735;1061;COST;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e4;25,3258;42,746;895;COST;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e5;25,3258;42,746;895;COCO;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e6;25,3258;42,746;895;COCO;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e7;25,3258;42,746;690;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e8;25,325;42,738;690;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Atanassova_e9;25,325;42,738;690;COMX;9,827246584;859,7477496;0,08234786;19,33021609
Bakker_a1;30,401436;37,591179;1241;WAST;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a10;30,297804;37,550905;1284;WAMX;10,67656489;716,2981144;1,308772067;20,47331174
Bakker_a11;30,300453;37,546514;1251;TAIG;10,13143923;767,0414051;0,913134995;19,87155342
Bakker_a12;30,290816;37,538868;1264;CLMX;10,13143923;767,0414051;0,913134995;19,87155342
Bakker_a13;30,284311;37,5388;1236;WAST;10,13143923;767,0414051;0,913134995;19,87155342
Bakker_a14;30,368871;37,568253;1268;WAMX;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a15;30,622577;37,566754;1217;WAST;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_a16;30,385371;37,547705;1264;WAST;10,58525403;851,3449726;1,342416734;20,35406367
Bakker_a2;30,380378;37,591353;1237;WAST;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a3;30,41412;37,57448;1486;WAST;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a4;30,407665;37,566355;1449;WAST;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a5;30,40911;37,56973;1427;COST;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a6;30,393515;37,589715;1446;HODE;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a7;30,40608;37,585288;1348;WAST;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a8;30,39121;37,589223;1034;WAMX;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_a9;30,403755;37,58995;1312;HODE;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_b1;30,47396667;37,66001667;1316;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b10;30,4046;37,5628;1055;XERO;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_b11;30,39715;37,57375;1341;WAMX;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_b12;30,5527;37,628;1164;XERO;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b13;30,50831667;37,66738333;1214;WAMX;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b14;30,50853333;37,66811667;1150;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b15;30,51231667;37,6785;1498;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b16;30,57888333;37,58068333;1239;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b17;30,59471667;37,56091667;1394;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b18;30,51373333;37,68508333;1430;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b19;30,51741667;37,68305;1445;WAMX;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b2;30,5904;37,57988333;1221;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b20;30,52795;37,67551667;1522;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b21;30,4995;37,63625;1447;WAST;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b22;30,72546667;37,62201667;1528;XERO;12,65333575;954,962579;2,838100195;22,91795921
Bakker_b23;30,51546667;37,67526667;1124;WAMX;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b24;30,55915;37,62145;1158;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b25;30,56026667;37,56605;1774;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b26;30,57618333;37,551;1822;TAIG;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b27;30,57835;37,54915;1495;TAIG;11,52920011;940,1871242;1,982149879;21,5954539
