Place;Biome;Deg_Lon;Deg_Lat;altitude;TANN;PANN;MTCO;MTWA
EPDcoretop_E987;TEFO;7;60.716667;592;-1.16533448795478;1572.523355;-8.95777130126953;7.67911656697591
EPDcoretop_E992;TEFO;-5;58.366667;810;7.53347945213315;1487.464099;3.59391943613688;11.8576132456461
EPDcoretop_E994;TUND;19.47125;54.102361;75;8.01105551949389;724.8755622;-1.21644015982747;17.2577724456787
EPDcoretop_E995;TEFO;17.633056;52.649167;840;8.45926976203916;656.0919678;-0.802355368932087;17.7619864145914
EPDcoretop_E996;TEFO;18.552778;54.093333;10;7.52657798429327;683.428688;-1.54117610057195;16.7054084142049
Fall_a1;WTFO;35.49882;30.40749;525;16.1489614248275;89.65988185;7.53977600733439;23.6981569925943
Fall_a10;STEP;35.41481;30.43815;214;18.5202222665151;80.31335868;9.89478556315101;25.8993606567382
Fall_a11;STEP;35.4116;30.44048;55;18.5202222665151;80.31335868;9.89478556315101;25.8993606567382
Fall_a12;STEP;35.40754;30.44663;115;18.5202222665151;80.31335868;9.89478556315101;25.8993606567382
Fall_a13;STEP;35.40549;30.45817;849;19.5671989123026;76.78703235;11.0066308975219;26.8233896891275
Fall_a14;STEP;35.40116;30.46837;886;19.5671989123026;76.78703235;11.0066308975219;26.8233896891275
Fall_a15;STEP;35.39822;30.47815;5;19.5671989123026;76.78703235;11.0066308975219;26.8233896891275
Fall_a16;STEP;35.3855;30.48608;800;19.5671989123026;76.78703235;11.0066308975219;26.8233896891275
Fall_a17;DESE;35.36652;30.49884;100;19.5671989123026;76.78703235;11.0066308975219;26.8233896891275
Fall_a18;STEP;35.32521;30.5647;750;22.2154649098714;65.72088915;13.9375667572021;29.2006905873616
Fall_a19;STEP;35.38494;30.75096;800;22.1398090521494;74.16462001;13.9538787206013;29.0070858001708
Fall_a2;WTFO;35.48847;30.40096;540;16.1489614248275;89.65988185;7.53977600733439;23.6981569925943
Fall_a20;STEP;35.42741;30.87001;562;22.6778480211893;77.07289802;14.577402750651;29.489823659261
Fall_a21;STEP;35.41629;30.89953;710;22.6778480211893;77.07289802;14.577402750651;29.489823659261
Fall_a3;WTFO;35.48821;30.39092;420;16.1489614248275;89.65988185;7.53977600733439;23.6981569925943
Fall_a4;STEP;35.48624;30.3793;595;16.1489614248275;89.65988185;7.53977600733439;23.6981569925943
Fall_a5;STEP;35.48069;30.37049;565;16.1489614248275;89.65988185;7.53977600733439;23.6981569925943
Fall_a6;STEP;35.4746;30.36988;5;16.1489614248275;89.65988185;7.53977600733439;23.6981569925943
Fall_a7;TEFO;35.45922;30.44202;28;18.5202222665151;80.31335868;9.89478556315101;25.8993606567382
Fall_a8;WTFO;35.44599;30.44389;17;18.5202222665151;80.31335868;9.89478556315101;25.8993606567382
Fall_a9;STEP;35.41962;30.43976;6;18.5202222665151;80.31335868;9.89478556315101;25.8993606567382
Fall_b13;TEFO;33.4340199999999;34.81246;515;19.6971852779388;243.3518702;12.8154700597127;26.8174584706624
Fall_b14;WTFO;33.3633;35.31219;740;19.2785813013712;358.6493077;11.4025624593098;27.5852330525715
Fall_b15;WTFO;33.08337;34.75408;101;18.3282623291015;319.2714262;10.6847534179687;26.3371461232503
Fall_b16;TEFO;33.3596999999999;34.8220099999999;8;19.217949549357;259.3681598;12.0674854914347;26.6346626281738
Fall_b17;WTFO;33.34875;34.8338699999999;4;19.217949549357;259.3681598;12.0674854914347;26.6346626281738
Fall_b18;WTFO;33.0848599999999;34.77707;1;18.3282623291015;319.2714262;10.6847534179687;26.3371461232503
Fall_b19;WTFO;33.1097299999999;35.33411;3;18.7520065307617;403.0689691;11.3155813217163;26.5888226826985
Fall_b20;WTFO;33.3550699999999;35.3033799999999;700;18.9698302745819;379.1663028;11.1335395177205;27.2370681762695
Fall_b21;TEFO;33.2977899999999;34.8472999999999;32;19.217949549357;259.3681598;12.0674854914347;26.6346626281738
Fall_b22;TEFO;33.29758;34.84769;54;19.217949549357;259.3681598;12.0674854914347;26.6346626281738
Fall_b23;WTFO;33.1323599999999;35.05216;-838;19.1377199490865;461.7018702;10.72287940979;28.0107777913411
Fall_b24;TEFO;33.14941;35.0499799999999;3;19.1377199490865;461.7018702;10.72287940979;28.0107777913411
Fall_b25;TEFO;33.26679;34.8423099999999;58;19.217949549357;259.3681598;12.0674854914347;26.6346626281738
Fall_b26;TEFO;33.25976;34.84295;53;18.7503189245859;288.4325691;11.346019744873;26.4700209299723
Fall_b27;WTFO;33.1648399999999;34.7932399999999;66;18.7503189245859;288.4325691;11.346019744873;26.4700209299723
Fall_b28;TEFO;33.19373;34.8536399999999;66;17.1278506914774;367.8552175;8.9254732131958;25.7643769582112
Fall_b29;TEFO;33.3270899999999;34.8505499999999;46;18.1322128772735;319.5371653;10.0758460362752;26.5952707926432
Fall_b30;TEFO;33.3109699999999;34.85123;87;18.1322128772735;319.5371653;10.0758460362752;26.5952707926432
Fall_b31;WTFO;33.2759799999999;35.3072599999999;87;18.9698302745819;379.1663028;11.1335395177205;27.2370681762695
Fall_b32;WTFO;33.06607;34.8497199999999;110;16.211436788241;420.3896432;7.86511373519897;25.0082314809163
Fall_b33;TEFO;33.26816;35.30413;112;18.9698302745819;379.1663028;11.1335395177205;27.2370681762695
Fall_b34;TEFO;33.12716;35.32688;265;18.7520065307617;403.0689691;11.3155813217163;26.5888226826985
Fall_b35;WTFO;33.22413;35.30447;265;18.7367875576019;391.4924582;11.0843947728475;26.8043530782063
Fall_b36;WTFO;33.1562199999999;34.8802499999999;205;16.211436788241;420.3896432;7.86511373519897;25.0082314809163
Fall_b37;TEFO;33.13112;34.93092;107;16.211436788241;420.3896432;7.86511373519897;25.0082314809163
Fall_b38;WTFO;33.25578;35.3064499999999;92;18.7367875576019;391.4924582;11.0843947728475;26.8043530782063
Fall_b39;WTFO;32.93003;34.8714599999999;95;15.6509857575098;475.5118726;7.37925831476847;24.326015472412
Fall_b40;WTFO;33.1011799999999;34.92586;83;16.211436788241;420.3896432;7.86511373519897;25.0082314809163
Fall_b41;TEFO;33.15184;34.8894499999999;145;16.211436788241;420.3896432;7.86511373519897;25.0082314809163
Fall_b42;WTFO;32.8029999999999;34.864333;190;16.0180385510126;478.2647713;7.99785057703654;24.4150479634602
Fall_b43;WTFO;33.13571;34.9015199999999;100;16.211436788241;420.3896432;7.86511373519897;25.0082314809163
Fall_b44;WTFO;33.13815;34.8911799999999;222;16.211436788241;420.3896432;7.86511373519897;25.0082314809163
Fall_b45;WTFO;33.0581099999999;34.91425;3;15.5709680318832;469.888906;7.09040562311808;24.5105813344319
Fall_b46;WTFO;33.05782;34.91487;100;15.5709680318832;469.888906;7.09040562311808;24.5105813344319
Fall_b47;WTFO;33.0531399999999;34.9046499999999;100;15.5709680318832;469.888906;7.09040562311808;24.5105813344319
Fall_b48;WTFO;33.0442219999999;34.9245829999999;476;15.5709680318832;469.888906;7.09040562311808;24.5105813344319
Fall_b49;TEFO;33.0481389999999;34.927083;24;15.5709680318832;469.888906;7.09040562311808;24.5105813344319
Fall_b50;WTFO;32.86063;34.90921;20;16.0180385510126;478.2647713;7.99785057703654;24.4150479634602
